code,condition
C50,Solid Tumor without Metastasis
C51,Solid Tumor without Metastasis
C52,Solid Tumor without Metastasis
C53,Solid Tumor without Metastasis
C54,Solid Tumor without Metastasis
C55,Solid Tumor without Metastasis
C56,Solid Tumor without Metastasis
C57,Solid Tumor without Metastasis
C58,Solid Tumor without Metastasis
C60,Solid Tumor without Metastasis
C61,Solid Tumor without Metastasis
C62,Solid Tumor without Metastasis
C63,Solid Tumor without Metastasis
C64,Solid Tumor without Metastasis
C65,Solid Tumor without Metastasis
C66,Solid Tumor without Metastasis
C67,Solid Tumor without Metastasis
C68,Solid Tumor without Metastasis
C69,Solid Tumor without Metastasis
C70,Solid Tumor without Metastasis
C71,Solid Tumor without Metastasis
C72,Solid Tumor without Metastasis
C73,Solid Tumor without Metastasis
C74,Solid Tumor without Metastasis
C75,Solid Tumor without Metastasis
C76,Solid Tumor without Metastasis
C97,Solid Tumor without Metastasis
L940,Rheumatoid Arthritis/collagen
L941,Rheumatoid Arthritis/collagen
L943,Rheumatoid Arthritis/collagen
M05,Rheumatoid Arthritis/collagen
M06,Rheumatoid Arthritis/collagen
M08,Rheumatoid Arthritis/collagen
M120,Rheumatoid Arthritis/collagen
M123,Rheumatoid Arthritis/collagen
M30,Rheumatoid Arthritis/collagen
M310,Rheumatoid Arthritis/collagen
M311,Rheumatoid Arthritis/collagen
M312,Rheumatoid Arthritis/collagen
M313,Rheumatoid Arthritis/collagen
M32,Rheumatoid Arthritis/collagen
M33,Rheumatoid Arthritis/collagen
M34,Rheumatoid Arthritis/collagen
M35,Rheumatoid Arthritis/collagen
M45,Rheumatoid Arthritis/collagen
M461,Rheumatoid Arthritis/collagen
M468,Rheumatoid Arthritis/collagen
M469,Rheumatoid Arthritis/collagen
D65,Coagulopathy
D66,Coagulopathy
D67,Coagulopathy
D68,Coagulopathy
D691,Coagulopathy
D693,Coagulopathy
D694,Coagulopathy
D695,Coagulopathy
D696,Coagulopathy
E66,Obesity
E40,Weight Loss
E41,Weight Loss
E42,Weight Loss
E43,Weight Loss
E44,Weight Loss
E45,Weight Loss
E46,Weight Loss
R634,Weight Loss
R64,Weight Loss
E222,Fluid and Electrolyte Disorders
E86,Fluid and Electrolyte Disorders
E87,Fluid and Electrolyte Disorders
D500,Blood Loss Anemia
D508,Deficiency Anemia
D509,Deficiency Anemia
D51,Deficiency Anemia
D52,Deficiency Anemia
D53,Deficiency Anemia
F10,Alcohol Abuse
E52,Alcohol Abuse
G621,Alcohol Abuse
I426,Alcohol Abuse
K292,Alcohol Abuse
K700,Alcohol Abuse
K703,Alcohol Abuse
K709,Alcohol Abuse
T51,Alcohol Abuse
Z502,Alcohol Abuse
Z714,Alcohol Abuse
Z721,Alcohol Abuse
F11,Drug Abuse
F12,Drug Abuse
F13,Drug Abuse
F14,Drug Abuse
F15,Drug Abuse
F16,Drug Abuse
F18,Drug Abuse
F19,Drug Abuse
Z715,Drug Abuse
Z722,Drug Abuse
F20,Psychoses
F22,Psychoses
F23,Psychoses
F24,Psychoses
F25,Psychoses
F28,Psychoses
F29,Psychoses
F302,Psychoses
F312,Psychoses
F315,Psychoses
F204,Depression
F313,Depression
F314,Depression
F315,Depression
F32,Depression
F33,Depression
F341,Depression
F412,Depression
F432,Depression
